treatment;number;date;Cylindrospermium;Chlamydomonas terricola;Ankistrodesmus sp.;Phacus smulkowskia;Cryptomonas sp.;Oocystis sp.;Tetraedron sp.;Nitzschia sp.;Fragilaria capucina;Coccoid Cyanobacterium;Eudorina elegans;Gymnodinium sp;Peridinium cinctum;Closterium navicula;Staurastrum hirsutum;Tetmemorus laevis;Stichococcus sp.;Microthamnion sp.;Cosmarium biretum;all
LSA;1;08.08.2005;;;;;;;;;;;;;;;;;;;;
LSA;2;08.08.2005;;;;;;;;;;;;;;;;;;;;
LSA;3;08.08.2005;;;;;;;;;;;;;;;;;;;;
LSA;4;08.08.2005;;;;;;;;;;;;;;;;;;;;
LSA;5;08.08.2005;;;;;;;;;;;;;;;;;;;;
LSA;6;08.08.2005;;;;;;;;;;;;;;;;;;;;
LSA;7;08.08.2005;;;;;;;;;;;;;;;;;;;;
LSA;8;08.08.2005;;;;;;;;;;;;;;;;;;;;
LSP;1;08.08.2005;;;;;;;;;;;;;;;;;;;;
LSP;2;08.08.2005;;;;;;;;;;;;;;;;;;;;
LSP;3;08.08.2005;;;;;;;;;;;;;;;;;;;;
LSP;4;08.08.2005;;;;;;;;;;;;;;;;;;;;
LSP;5;08.08.2005;;;;;;;;;;;;;;;;;;;;
LSP;6;08.08.2005;;;;;;;;;;;;;;;;;;;;
LSP;7;08.08.2005;;;;;;;;;;;;;;;;;;;;
LSP;8;08.08.2005;;;;;;;;;;;;;;;;;;;;
LVA;1;08.08.2005;;;;;;;;;;;;;;;;;;;;
LVA;2;08.08.2005;;;;;;;;;;;;;;;;;;;;
LVA;3;08.08.2005;;;;;;;;;;;;;;;;;;;;
LVA;4;08.08.2005;;;;;;;;;;;;;;;;;;;;
LVA;5;08.08.2005;;;;;;;;;;;;;;;;;;;;
LVA;6;08.08.2005;;;;;;;;;;;;;;;;;;;;
LVA;7;08.08.2005;;;;;;;;;;;;;;;;;;;;
LVA;8;08.08.2005;;;;;;;;;;;;;;;;;;;;
