"species","trt"
"Cylindrospermium","HSA"
"Cylindrospermium","HSP"
"Cylindrospermium","HVA"
"Cylindrospermium","HVP"
"Cylindrospermium","LSA"
"Cylindrospermium","LSP"
"Cylindrospermium","LVA"
"Cylindrospermium","LVP"
"Chlamydomonas.terricola","HSA"
"Chlamydomonas.terricola","HSP"
"Chlamydomonas.terricola","HVA"
"Chlamydomonas.terricola","HVP"
"Chlamydomonas.terricola","LSA"
"Chlamydomonas.terricola","LSP"
"Chlamydomonas.terricola","LVA"
"Chlamydomonas.terricola","LVP"
"Ankistrodesmus.sp.","HSA"
"Ankistrodesmus.sp.","HSP"
"Ankistrodesmus.sp.","HVA"
"Ankistrodesmus.sp.","HVP"
"Ankistrodesmus.sp.","LSA"
"Ankistrodesmus.sp.","LSP"
"Ankistrodesmus.sp.","LVA"
"Ankistrodesmus.sp.","LVP"
"Phacus.smulkowskia","HSA"
"Phacus.smulkowskia","HSP"
"Phacus.smulkowskia","HVA"
"Phacus.smulkowskia","HVP"
"Phacus.smulkowskia","LSA"
"Phacus.smulkowskia","LSP"
"Phacus.smulkowskia","LVA"
"Phacus.smulkowskia","LVP"
"Cryptomonas.sp.","HSA"
"Cryptomonas.sp.","HSP"
"Cryptomonas.sp.","HVA"
"Cryptomonas.sp.","HVP"
"Cryptomonas.sp.","LSA"
"Cryptomonas.sp.","LSP"
"Cryptomonas.sp.","LVA"
"Cryptomonas.sp.","LVP"
"Oocystis.sp.","HSA"
"Oocystis.sp.","HSP"
"Oocystis.sp.","HVA"
"Oocystis.sp.","HVP"
"Oocystis.sp.","LSA"
"Oocystis.sp.","LSP"
"Oocystis.sp.","LVA"
"Oocystis.sp.","LVP"
"Tetraedron.sp.","HSA"
"Tetraedron.sp.","HSP"
"Tetraedron.sp.","HVA"
"Tetraedron.sp.","HVP"
"Tetraedron.sp.","LSA"
"Tetraedron.sp.","LSP"
"Tetraedron.sp.","LVA"
"Tetraedron.sp.","LVP"
"Nitzschia.sp.","HSA"
"Nitzschia.sp.","HSP"
"Nitzschia.sp.","HVA"
"Nitzschia.sp.","HVP"
"Nitzschia.sp.","LSA"
"Nitzschia.sp.","LSP"
"Nitzschia.sp.","LVA"
"Nitzschia.sp.","LVP"
"Fragilaria.capucina","HSA"
"Fragilaria.capucina","HSP"
"Fragilaria.capucina","HVA"
"Fragilaria.capucina","HVP"
"Fragilaria.capucina","LSA"
"Fragilaria.capucina","LSP"
"Fragilaria.capucina","LVA"
"Fragilaria.capucina","LVP"
"Coccoid.Cyanobacterium","HSA"
"Coccoid.Cyanobacterium","HSP"
"Coccoid.Cyanobacterium","HVA"
"Coccoid.Cyanobacterium","HVP"
"Coccoid.Cyanobacterium","LSA"
"Coccoid.Cyanobacterium","LSP"
"Coccoid.Cyanobacterium","LVA"
"Coccoid.Cyanobacterium","LVP"
"Eudorina.elegans","HSA"
"Eudorina.elegans","HSP"
"Eudorina.elegans","HVA"
"Eudorina.elegans","HVP"
"Eudorina.elegans","LSA"
"Eudorina.elegans","LSP"
"Eudorina.elegans","LVA"
"Eudorina.elegans","LVP"
"Gymnodinium.sp","HSA"
"Gymnodinium.sp","HSP"
"Gymnodinium.sp","HVA"
"Gymnodinium.sp","HVP"
"Gymnodinium.sp","LSA"
"Gymnodinium.sp","LSP"
"Gymnodinium.sp","LVA"
"Gymnodinium.sp","LVP"
"Peridinium.cinctum","HSA"
"Peridinium.cinctum","HSP"
"Peridinium.cinctum","HVA"
"Peridinium.cinctum","HVP"
"Peridinium.cinctum","LSA"
"Peridinium.cinctum","LSP"
"Peridinium.cinctum","LVA"
"Peridinium.cinctum","LVP"
"Closterium.navicula","HSA"
"Closterium.navicula","HSP"
"Closterium.navicula","HVA"
"Closterium.navicula","HVP"
"Closterium.navicula","LSA"
"Closterium.navicula","LSP"
"Closterium.navicula","LVA"
"Closterium.navicula","LVP"
"Staurastrum.hirsutum","HSA"
"Staurastrum.hirsutum","HSP"
"Staurastrum.hirsutum","HVA"
"Staurastrum.hirsutum","HVP"
"Staurastrum.hirsutum","LSA"
"Staurastrum.hirsutum","LSP"
"Staurastrum.hirsutum","LVA"
"Staurastrum.hirsutum","LVP"
"Tetmemorus.laevis","HSA"
"Tetmemorus.laevis","HSP"
"Tetmemorus.laevis","HVA"
"Tetmemorus.laevis","HVP"
"Tetmemorus.laevis","LSA"
"Tetmemorus.laevis","LSP"
"Tetmemorus.laevis","LVA"
"Tetmemorus.laevis","LVP"
"Stichococcus.sp.","HSA"
"Stichococcus.sp.","HSP"
"Stichococcus.sp.","HVA"
"Stichococcus.sp.","HVP"
"Stichococcus.sp.","LSA"
"Stichococcus.sp.","LSP"
"Stichococcus.sp.","LVA"
"Stichococcus.sp.","LVP"
"Microthamnion.sp.","HSA"
"Microthamnion.sp.","HSP"
"Microthamnion.sp.","HVA"
"Microthamnion.sp.","HVP"
"Microthamnion.sp.","LSA"
"Microthamnion.sp.","LSP"
"Microthamnion.sp.","LVA"
"Microthamnion.sp.","LVP"
"Cosmarium.biretum","HSA"
"Cosmarium.biretum","HSP"
"Cosmarium.biretum","HVA"
"Cosmarium.biretum","HVP"
"Cosmarium.biretum","LSA"
"Cosmarium.biretum","LSP"
"Cosmarium.biretum","LVA"
"Cosmarium.biretum","LVP"
